,record_num,id,latitude,longitude,direction_id,current_stop_sequence,label,speed,trip_id,stop_id,bus_bearing,occupancy_status,current_status,updated_at
0,1,y1923,42.35274013,-71.09040832,1,11.0,1923,,52110816,,159,FULL,IN_TRANSIT_TO,2022-08-10T18:07:07-04:00
1,2,y1857,42.33127937,-71.07703739,0,5.0,1857,,52110882,,110,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,2022-08-10T18:07:11-04:00
2,3,y1847,42.34676049,-71.08740998,1,12.0,1847,,52111045,,167,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,2022-08-10T18:07:12-04:00
3,4,y1834,42.37321182,-71.11756461,0,1.0,1834,,52110945,,0,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,2022-08-10T18:07:01-04:00
4,5,y1827,42.36481,-71.10282,1,7.0,1827,,52111039,,135,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,2022-08-10T18:07:10-04:00
5,6,y1805,42.33299995,-71.07431968,1,20.0,1805,,52110914,,230,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,2022-08-10T18:07:10-04:00
6,7,y1795,42.3479151,-71.08800504,0,13.0,1795,,52110787,,0,FULL,IN_TRANSIT_TO,2022-08-10T18:07:05-04:00
7,8,y1780,42.34727926,-71.08764211,0,13.0,1780,,52110975,,0,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,2022-08-10T18:07:07-04:00
8,9,y1775,42.34423113,-71.08622261,1,13.0,1775,,52111025,,0,FULL,IN_TRANSIT_TO,2022-08-10T18:07:11-04:00
9,10,y1766,42.33520668,-71.07534331,1,18.0,1766,,52110996,,0,FEW_SEATS_AVAILABLE,IN_TRANSIT_TO,2022-08-10T18:07:13-04:00
10,11,y1722,42.37317116,-71.1178108,0,1.0,1722,,52110848,,273,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,2022-08-10T18:07:13-04:00
11,12,y1923,42.35274013,-71.09040832,1,11.0,1923,,52110816,,159,FULL,IN_TRANSIT_TO,2022-08-10T18:07:07-04:00
12,13,y1857,42.33127937,-71.07703739,0,5.0,1857,,52110882,,110,MANY_SEATS_AVAILABLE,IN_TRANSIT_TO,2022-08-10T18:07:11-04:00
